,initial,iteration=0,iteration=1,iteration=2,iteration=3,iteration=4,iteration=5,iteration=6,iteration=7,iteration=8,iteration=9
AUG,1500,1815.7254481687276,1822.3104494249744,1822.8647493266978,1822.9265088974955,1822.9336253495824,1822.9344483029395,1822.9345435065359,1822.9345545206552,1822.9345557948866,1822.9345559423034
LAR,1500,1675.1256327968044,1679.4019329237258,1679.8295977726148,1679.8786712617944,1679.8843459500554,1679.8850024397655,1679.8850783894427,1679.8850871761201,1679.8850881926578,1679.8850883102618
JAC,1500,1638.0284413062686,1642.2663439330033,1642.7016332865257,1642.751561653357,1642.7573337730003,1642.7580015141011,1642.758078765263,1642.7580877025096,1642.7580887364663,1642.7580888560858
OAK,1500,1593.3117305033575,1590.204829743097,1589.7984574350312,1589.7514710268993,1589.7460387932347,1589.7454103899022,1589.745337690005,1589.7453292793,1589.745328306259,1589.745328193687
FAR,1500,1592.6572381135845,1589.1792085742916,1588.7315683928728,1588.6798259951643,1588.6738435825487,1588.6731515281315,1588.673071464362,1588.6730622017237,1588.6730611301216,1588.6730610061472
PRO,1500,1582.5567185971677,1587.0758847477605,1587.5326638670492,1587.5847191519558,1587.5907323247482,1587.5914278848722,1587.5915083534358,1587.5915176628896,1587.5915187399075,1587.591518864509
CHM,1500,1536.6326442903533,1540.7490652252359,1541.1918454058878,1541.2424097254818,1541.2482497669378,1541.2489252748219,1541.2490034231735,1541.2490124641965,1541.2490135101593,1541.2490136311676
ALB,1500,1543.5176392532373,1540.8679887484968,1540.5467246981486,1540.5096822123298,1540.5053993241943,1540.5049038736631,1540.504846555231,1540.5048399240268,1540.5048391568575,1540.5048390681031
DES,1500,1530.995136142871,1534.5603126010517,1535.005644095792,1535.0575912421932,1535.0636057086012,1535.0643015736603,1535.0643820792272,1535.064391392981,1535.0643924704964,1535.0643925951551
LEX,1500,1523.62085444885,1525.9267538284785,1526.183210432074,1526.21267054812,1526.2160756506348,1526.2164695476395,1526.2165151173515,1526.21652038934,1526.2165209992606,1526.2165210698229
SFS,1500,1521.2327291707807,1518.8956160984378,1518.528776688846,1518.4851162515738,1518.480049773642,1518.479463423225,1518.4793955849564,1518.47938773665,1518.4793868286724,1518.479386723628
LRO,1500,1513.5906069996654,1517.0201572087103,1517.3969711283073,1517.4402079018942,1517.4452057667875,1517.4457839255765,1517.4458508126347,1517.4458585508432,1517.4458594460827,1517.4458595496537
ANC,1500,1513.795690045763,1511.4257288230333,1511.0644147964044,1511.021020668553,1511.0159748047872,1511.015390652527,1511.0153230655212,1511.015315246235,1511.0153143416146,1511.015314236958
MOB,1500,1505.1800957555704,1508.3164613616282,1508.684547265111,1508.7270238562292,1508.7319349401967,1508.732503053768,1508.7325687784323,1508.7325763821573,1508.7325772618378,1508.7325773636092
SAS,1500,1483.9321549843526,1480.4723867632902,1480.039095656685,1479.9883969436887,1479.9825225068057,1479.9818427522594,1479.9817641089026,1479.981755010561,1479.981753957966,1479.9817538361904
SPR,1500,1470.63585448302,1473.9179883826741,1474.299265757606,1474.3431403510538,1474.3482123062536,1474.3487990276394,1474.3488669050619,1474.3488747578417,1474.348875666336,1474.3488757714401
BAK,1500,1478.6064575146822,1474.1986205975518,1473.7117606989048,1473.6559753331503,1473.649529878416,1473.6487843207824,1473.6486980684178,1473.6486880898408,1473.6486869354117,1473.6486868018549
REN,1500,1471.261891021326,1468.0362306014274,1467.685459554222,1467.6451592253186,1467.6405002863003,1467.63996133745,1467.6398989867623,1467.6398917733743,1467.6398909388517,1467.639890842305
DOV,1500,1463.821626529389,1467.0776542687775,1467.48233420834,1467.529326826321,1467.5347648380605,1467.5353939715908,1467.5354667563586,1467.5354751768782,1467.5354761510548,1467.535476263758
FOR,1500,1464.440384961027,1460.5364017447082,1460.0948219155314,1460.0438509840253,1460.0379550758673,1460.037272972884,1460.0371940595762,1460.037184930025,1460.0371838738197,1460.0371837516263
TOL,1500,1444.53307055744,1448.3072904043233,1448.7666876105338,1448.819811006558,1448.8259553577302,1448.8266661723414,1448.8267484064872,1448.8267579202102,1448.82675902086,1448.8267591481954
TAC,1500,1444.266864490878,1439.2606829539268,1438.7412689171729,1438.6824490462309,1438.6756675683155,1438.674883433155,1438.674792723417,1438.67478222927,1438.6747810151962,1438.674780874739
EUG,1500,1425.7087021347165,1422.0037471207565,1421.5461569252466,1421.492681773756,1421.4864874017765,1421.4857706546438,1421.4856877318325,1421.4856781383994,1421.485677028527,1421.485676900125
WIC,1500,1393.6996696022018,1390.9300405922404,1390.6436582543386,1390.6105235705013,1390.6066874078363,1390.6062435482083,1390.6061921970245,1390.6061862561571,1390.6061855688529,1390.6061854893385
MAN,1500,1382.0303804562627,1383.9221365860972,1384.3351016877887,1384.3851151217932,1384.390925587823,1384.3915980746697,1384.391675878374,1384.3916848795864,1384.3916859209446,1384.39168604142
SJU,1500,1373.5954578949984,1373.7642355064204,1373.969648389961,1373.9960733002708,1373.9991676705183,1373.999526183665,1373.9995676678045,1373.9995724672465,1373.9995730224996,1373.9995730867372
BOI,1500,1351.999297683911,1349.2894240263952,1348.9655132258097,1348.927129446574,1348.9226735192026,1348.9221577979104,1348.9220981308977,1348.9220912279359,1348.9220904293265,1348.9220903369346
TUC,1500,1265.497582092794,1260.0824272094862,1259.6584226064974,1259.6118866777176,1259.606535086144,1259.605916368207,1259.6058447935113,1259.6058365130457,1259.605835555073,1259.6058354442448
